;	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152
At3g46040-4	A	A	A	A	A	B	B	A	A	A	A	A	B	B	A	B	A	B	A	A	B	A	B	B	B	A	B	B	A	A	A	B	B	A	A	B	B	B	B	A	B	A	-	A	A	A	B	A	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	B	A	A	A	A	B	B	A	A	A	B	B	B	A	B	A	B	B	A	B	B	B	B	B	B	B	B	A	A	B	B	A	B	B	A	-	B	B	B	B	B	A	A	-	A	A	A	A	A	B	B	A	A	A	A	B	B	B	B	A	A	B	B	B	A	B	B	A	B	B	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g46620-11	A	A	A	A	A	B	B	A	A	B	A	A	B	B	A	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	A	B	B	A	A	B	B	B	B	A	B	A	B	A	A	A	B	A	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	B	A	A	A	A	B	B	A	B	A	B	B	B	A	B	A	B	B	A	B	B	B	B	B	B	B	B	A	A	B	B	A	B	B	A	A	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	B	B	B	B	A	A	B	B	B	A	B	B	A	B	B	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
MSAT3.21	A	A	A	A	A	B	B	A	A	A	A	A	B	B	A	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	A	B	B	A	A	B	B	B	B	A	B	A	A	A	A	A	B	A	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	B	A	A	A	A	B	B	A	-	A	B	A	B	A	B	A	B	B	A	B	B	-	B	B	B	B	B	A	A	B	B	A	B	B	A	A	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	B	B	B	-	A	A	B	B	B	A	B	B	A	B	B	A	B	B	B	A	A	A	A	B	B	B	B	A	A	A	B	B
At3g47070-5	A	A	A	A	A	B	B	A	A	B	A	A	B	B	A	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	A	B	B	A	A	B	B	B	B	A	B	A	A	A	A	A	B	A	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	B	A	A	A	A	B	B	A	B	A	B	B	B	A	B	A	B	B	A	B	B	B	B	B	B	B	B	A	A	B	B	A	B	B	A	A	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	B	B	B	B	A	A	B	B	B	A	B	B	A	B	B	-	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g47370-5	A	A	A	A	A	B	B	A	A	A	A	A	B	B	A	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	A	B	B	A	A	B	B	B	B	A	B	A	A	A	A	A	B	A	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	B	A	A	A	A	B	B	A	A	A	B	B	B	A	B	A	B	B	A	B	B	B	B	B	B	B	B	A	A	B	B	A	B	B	A	A	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	B	B	B	B	A	A	B	B	B	A	B	B	A	B	B	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g47670-2	A	A	A	A	A	B	B	A	A	A	A	A	B	B	A	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	A	B	B	A	A	B	B	B	B	A	B	A	A	A	A	A	B	A	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	B	A	A	A	A	B	B	A	A	A	B	B	B	A	B	A	B	B	A	B	B	B	B	B	B	B	B	A	A	B	B	A	B	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	B	B	A	B	B	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g47800-2	A	A	A	A	A	B	B	A	A	B	A	A	B	B	A	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	A	B	B	A	A	B	B	B	B	A	B	A	A	B	A	A	B	A	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	B	A	A	A	A	B	B	A	B	A	B	A	B	A	B	A	B	B	A	B	B	B	B	B	B	B	B	A	B	B	B	A	B	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	B	B	A	B	B	-	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g48200-6	A	A	A	A	A	B	B	A	A	-	A	A	B	B	A	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	A	B	B	-	A	B	B	B	B	A	B	A	A	B	A	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	B	A	A	A	A	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	B	B	B	B	B	B	A	B	B	B	A	B	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	B	B	A	B	B	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g48530-2	A	A	A	A	A	B	B	A	A	A	A	A	B	B	A	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	A	B	B	A	A	B	B	B	B	A	B	A	B	B	A	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	B	A	A	A	A	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	B	B	B	B	B	B	A	B	B	B	A	B	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	B	B	A	B	B	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g48680-8	A	A	A	A	A	B	B	A	A	B	A	A	B	B	A	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	A	B	B	A	A	B	B	B	B	A	B	A	B	B	A	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	B	A	A	A	A	B	B	A	B	A	B	A	B	A	B	A	B	B	A	B	B	B	B	B	B	B	B	A	B	B	B	A	B	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	B	B	A	B	B	-	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g48690-5	A	A	A	A	A	B	B	A	A	B	A	A	B	B	A	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	A	B	B	A	A	B	B	B	B	A	B	A	B	B	A	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	B	A	A	A	A	B	B	A	B	A	B	A	B	A	B	A	B	B	A	B	B	B	B	B	B	B	B	A	B	B	B	A	B	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	-	B	B	B	A	A	B	B	B	B	B	B	A	B	B	-	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g48930-7	A	A	A	A	A	B	B	A	A	A	A	A	B	B	A	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	A	B	B	B	A	B	B	B	B	A	B	A	B	B	A	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	B	A	A	A	A	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	B	B	B	B	B	B	A	B	B	B	A	B	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	B	B	A	B	B	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g49010-8	A	A	A	A	A	B	B	A	A	B	A	A	B	B	A	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	A	B	B	B	A	B	B	B	B	A	B	A	B	B	A	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	B	A	A	A	A	B	B	A	B	A	B	A	B	A	B	A	B	B	A	B	B	B	B	B	B	B	B	A	B	B	B	A	B	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	B	B	A	B	B	-	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g49360-7	A	A	A	A	A	B	B	A	A	A	A	A	B	B	A	B	A	B	A	A	B	A	B	B	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	A	B	B	A	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	B	A	A	A	A	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	B	A	B	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	B	B	A	B	A	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g49910-11	A	A	A	A	A	B	B	A	A	A	A	A	B	B	A	B	A	B	A	A	B	A	B	B	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	A	B	B	A	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	B	A	B	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	B	B	A	B	A	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g50480-11	A	A	A	A	-	B	B	A	A	B	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	A	B	B	A	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	B	A	B	A	B	A	B	A	B	B	A	B	B	B	B	B	B	B	B	A	B	B	B	A	B	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	A	B	A	B	A	-	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g50500-1	A	A	A	A	A	B	B	A	A	B	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	A	B	B	A	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	B	A	B	A	B	A	B	A	B	B	A	B	B	B	B	B	B	B	B	A	B	B	B	A	B	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	A	B	A	B	A	-	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g50820-11	A	A	A	A	A	A	B	B	A	A	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	A	B	B	B	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	B	A	B	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	A	B	A	B	A	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g51010-4	A	A	A	A	A	A	B	B	A	B	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	A	B	B	B	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	B	A	B	A	B	A	B	A	B	B	A	B	B	B	B	B	B	B	B	A	B	B	B	A	B	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	A	B	A	B	A	-	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g51730-1	A	A	A	A	A	A	B	B	A	A	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	A	B	B	B	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	B	B	A	B	A	B	B	B	A	B	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	A	B	A	B	A	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g52070-10	A	A	A	A	A	A	B	B	A	B	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	A	B	B	B	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	B	A	B	A	B	A	B	A	B	B	A	B	B	B	B	B	B	A	B	A	B	B	B	A	B	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	A	B	A	B	B	-	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g52560-11	A	A	A	A	A	A	B	B	A	B	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	A	B	B	B	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	B	A	B	A	B	A	B	A	B	B	A	B	B	B	B	B	B	A	B	A	B	B	B	A	A	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	A	B	A	B	B	-	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g52590-8	A	A	A	A	A	A	B	B	A	A	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	A	B	B	B	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	B	B	A	B	A	B	B	B	A	A	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	A	B	A	B	B	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g52760-2	A	A	A	A	A	A	B	B	A	B	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	A	B	B	B	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	B	A	B	A	B	A	B	A	B	B	A	B	B	B	B	B	B	A	B	A	B	B	B	A	A	B	A	B	B	B	B	B	B	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	A	B	A	B	B	-	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g52840-4	A	A	A	A	A	A	B	B	A	B	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	A	B	B	B	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	B	B	B	B	A	B	A	B	B	B	A	A	B	A	B	B	B	B	A	B	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	A	B	A	B	B	-	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g52960-7	A	A	A	A	A	A	B	B	A	A	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	A	B	B	B	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	B	B	A	B	A	B	B	B	A	A	B	A	B	B	B	B	A	B	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	A	B	A	B	B	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g53420-7	A	A	A	A	A	A	B	B	A	A	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	A	B	B	B	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	B	B	A	B	A	B	B	B	A	A	B	A	B	B	B	B	A	B	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	A	B	A	B	B	A	B	B	A	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g53670-10	A	A	A	A	A	A	B	B	A	A	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	B	B	B	B	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	B	B	A	B	A	B	B	B	A	A	B	A	B	B	B	B	A	B	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	A	B	A	B	B	A	B	B	A	A	A	B	A	-	B	B	B	A	A	A	B	B
At3g54050-5	A	A	A	A	A	A	B	B	A	A	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	B	B	B	B	A	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	A	B	A	A	A	B	B	B	A	A	B	A	B	B	B	B	A	B	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	B	B	B	B	A	B	A	B	B	A	B	B	A	A	A	B	A	B	B	B	B	A	A	A	B	B
At3g54560-10	A	A	A	A	A	A	B	B	A	A	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	B	B	B	B	B	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	A	B	A	A	A	B	B	B	A	A	B	A	B	B	B	B	A	B	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	B	B	A	B	A	B	A	B	B	A	B	B	A	A	A	A	A	B	A	B	B	A	A	A	B	B
At3g54840-7	A	A	A	A	A	A	B	B	A	B	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	B	B	B	B	B	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	B	B	A	B	A	A	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	B	B	A	B	A	B	A	B	B	-	B	B	A	A	A	A	A	B	-	B	B	A	A	A	B	B
At3g54890-2	A	A	A	A	A	A	B	B	A	B	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	B	B	B	B	B	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	B	B	A	B	A	A	A	B	B	B	A	-	B	A	B	B	B	B	A	A	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	B	B	A	B	A	B	A	B	B	-	B	B	A	A	A	A	A	B	-	B	B	A	A	A	B	B
At3g54900-7	A	A	A	A	A	A	B	B	A	A	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	B	B	B	B	B	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	A	B	A	A	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	B	B	A	B	A	B	A	B	B	A	B	B	A	A	A	A	A	B	A	B	B	A	A	A	B	B
At3g55450-7	A	A	A	A	A	A	B	B	A	B	A	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	B	B	B	B	B	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	A	B	A	A	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	B	B	A	B	A	B	A	B	B	-	B	B	A	B	A	A	A	B	-	B	B	A	A	A	B	B
At3g55770-3	A	A	A	A	A	A	B	B	A	B	B	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	B	B	B	B	B	B	B	B	A	-	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	A	B	A	A	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	B	B	A	B	A	B	A	B	B	-	B	B	A	B	A	A	A	B	A	B	B	A	A	A	B	B
At3g56010-7	A	A	A	A	A	A	B	B	A	A	B	A	B	B	A	B	A	B	A	A	B	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	B	B	B	B	B	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	A	B	A	A	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	B	B	A	B	A	B	A	B	B	A	B	B	A	B	A	A	A	B	A	B	B	A	A	A	B	B
At3g56680-1	A	A	A	A	A	A	B	B	A	B	B	A	B	B	A	B	A	B	A	A	A	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	B	B	B	B	B	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	A	B	A	A	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	B	B	A	B	A	B	A	B	B	-	B	B	A	B	A	A	A	B	A	B	B	A	A	A	B	B
At3g56710-10	A	A	A	A	A	A	B	B	A	A	B	A	B	B	A	B	A	B	A	A	A	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	B	B	B	B	B	B	B	B	B	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	-	B	A	A	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	B	B	A	B	A	B	A	B	B	A	B	B	A	B	A	A	A	B	A	B	B	A	A	A	B	B
At3g57090-8	A	A	A	A	A	A	B	B	A	B	B	A	B	B	A	B	A	B	A	A	A	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	B	B	B	B	B	B	B	B	B	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	B	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	A	B	A	A	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	A	B	A	B	A	B	A	B	B	-	B	B	A	B	A	A	A	B	A	B	B	A	A	A	B	B
At3g57480-11	A	A	A	A	A	A	B	B	A	B	B	A	B	B	A	B	A	B	A	A	A	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	B	B	B	B	B	B	B	B	B	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	B	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	A	B	A	A	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	A	B	A	B	A	B	A	B	B	-	B	B	A	B	A	A	A	B	A	B	B	A	A	A	B	B
MSAT3.18	A	A	A	A	A	A	B	B	A	-	B	A	B	B	A	B	A	B	A	A	A	A	B	A	B	B	B	B	B	A	B	B	B	B	-	B	B	B	B	A	B	B	B	B	B	B	B	B	B	-	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	B	A	B	B	B	A	A	A	B	-	B	A	B	A	B	B	A	B	B	-	-	A	B	A	A	A	B	B	B	A	A	B	A	B	B	B	B	A	A	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	B	A	A	B	-	B	B	A	A	A	B	B
At3g57770-3	A	A	A	A	A	A	B	B	A	A	B	A	B	B	A	B	A	B	A	A	A	A	B	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	B	B	B	B	B	B	B	B	B	B	A	A	A	A	B	A	B	B	B	B	A	B	-	B	A	A	B	A	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	A	B	A	A	A	B	B	B	A	A	B	A	-	B	B	B	A	A	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	B	A	A	B	A	B	B	A	A	A	B	B
At3g58730-3	A	A	A	A	A	A	B	B	A	B	B	A	A	B	A	B	A	B	A	A	A	A	B	A	B	A	B	B	B	A	B	B	B	B	A	B	B	B	B	A	B	B	B	B	B	B	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	B	B	B	A	A	B	A	B	B	B	A	-	A	B	A	B	A	B	A	B	B	A	B	B	A	B	A	B	A	A	A	B	B	B	-	A	B	A	B	B	B	B	A	A	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	B	B	A	B	B	A	A	B	A	B	B	A	A	A	B	B
